tid,text,gt
0,"They spelled T-E-R-R-O-R-I-S-T wrong, the trick is to give yourself rewards, like cake, beer and Chinese food, cos you'd deserve it afterwards., Monday morning, gym done and the kitchen cleaned... Feeling fairly on it today, Suddenly have a craving for an after work sport, like rowing or badminton or tennis or something..., I know, right?, Kitten with a milk beard hiding in a pocket, you're welcome, Great article on what it's like to grow up Muslim in Ireland, generally a pretty positive article, I dunno, that seems half baked as an idea to me..., we'll rain croissants, chirps and wurst down upon him!, Fairly astonishing..., Theresa May arriving in the US looks like Vader at the Death Star. LOLZ, In seriousness, these ppl want to destroy the European way of life., well, call me Damien! That's chilly, Wow, humans are scum, Another good headline for Wednesday, Ireland is not such a bad place in a lot of ways., ...Yes, yes it is., a coffee shop, just for the office, where all the coffee and buns are free..., if it was you'd be buying us all coffee this morning, Trump supporters and Alt-right strategies to help influence French Elections..., there were too few typos in that, and it kind of made sense... Way above the usual, I believe this all fits rather nicely! Better than your usual copy!, Nothing says Tuesday like a three hour meeting! ☕☕☕, he's more of a, People on phones in bookshops... Just die, maybe on the way home, I may as well go home, it can only be downhill from here, Empty gym, warm croissant for brekkie and new Aussiebum swimmers before my second coffee. Monday is looking up! 🌞🌞🌞, Maybe Corbyn is right to scrap Trident if the UK can't be trusted to run it properly..., All these right-wing snowflakes, jeez, yeah, I think Data isn't included in plans there, so it's all oldschool texting 🤓, yup, only a third of US internet users have downloaded the app, even less use it! It's to do with mobile/data bundles, yikes, poor animals... But do they look wrinkle free?, haha, Clinique is your best friend 😉 happy birthday!",1
1,"I know. Sick of the total lack of ethics., but also, isn't it sodding tiresome that economics is even a factor here in the minds of FG?, that's quite something. Where to?, You're still here..., It's more terrifying that this exists in general, tbh. Sounds like the Mafia..., I see now  is saying it was ""seen as a mistake"" (but maybe hasn't been restored properly), I see what you mean. I can't imagine it's an accident though., why was Justice link removed from WH site?, mostly the bad ""dudes"" are in the White House..., 2016: I can't wait for this year to be over.

2017: I can't wait for this week to be over., I get it, and I think ignoring context has the effect you think being literal has. No more to say really., What tortuous route got you from ""I'm against a muslim ban"" to ""I'm pro- a Christian ban""?, the order expressly prioritises other religions for access. You see what you want to see., it's not fake news, that kind of literalism when the intent is clear just clouds a simple matter of racism., Guiliani already admitted they were aiming at a Muslim ban (not to mention it's a trump campaign promise), presumably because the govt vetting your opinions on sitting president is against the first amendment., they seem pretty happy to reverse their stated positions so far. Endorsed GWB's Iraq expedition., the notion of starting a war to shore up support isn't a new one :(, my mistake, another look at her timeline reveals a massive anti-Semite., I wonder how many racists would be able to converse with you in Irish..., the problem with impeachment is that it's a political act, not a justice act. GOP will keep him until they think he's toxic., I was thinking that; maybe he's planning to return Alaska to Russia., he's behind a firewall. I'm very happy not to know what he says any more., I see them react to every complaint about media platforming fascists; tumbleweed when anti-govt speech denies US immigration., I'm guessing free-speech twitter is flooding the timeline with tweets about the 1st amendment now, right?",1
2,"Tonight is the night folks. Hope see you all heisergallery from 6pm, Tonight is the night folks. Hope see you all heisergallery from 6pm, We'll all chip in :), It maybe cheaper to hire someone just to stop him. Permanently, Rightly so, Does he live there? Regardless, what a fuckwit. Really, who clicks? He should burst into flames next time he clicks, So this drongo clicks at the occupant of the unit and they let him in?, Tram. Brisbane. If only., Small undulations in an unending single tone pierced by the occasional shard of impossible…, The continuing pollution and degradation of their planets ecology left them little in the way of…, In no way does the desert of Dreamland look at all like Canada, Nice little plug for my work and show from Booooooom :), Booom blog did a small post of new works of mine. Here it is :), There is that :), With less wives and with any luck no missing heads!, Yeah it's not as fun as it should be. I think it is only fun when you have enough girth to flop about and everyone just says yes, I'm in the trough following the making of a show. It's me and booze and inactivity for the next 2 weeks and little else., No TV :/ Life finds a way, Now I need to watch it again. Has been forever., Satan's armpit! I like this! Now it is mine :D, It's good to leave and it is good to come home, to return, Concrete candy. A small work for Within the realm of a dying sun opening today heisergallery…, I endorse this  smug photo of our PM. It is however too upright. Horizontal at the hip would be more accurate., Bernardi is coming, Friends, do not despair for there is a place to which we can travel! Leave behind the foulness…, Now you can become anyone., This, You have do more if you are ever going to get back my vote., Doggo and whisky time. Noice. Which whisky?, Moon-rise and Nowhere. A pair of works for Within the realm of a dying sun. Opening drinks are…, He and O'Reilly are the pits, Isolated obelisk. A small painting for my show heisergallery . Opening this Tuesday with…",1
3,"In corporate America it's called a boondoggle, Great way to kill the momentum building over the last 18m., That's a stretch!, I think they would say they took the 4 best, Resolving the Parallax Error | mgoblog, Very clever, That is the ESPN formula......, Peggy Noonan: What to Tell Your Children About Trump, The Electoral College Still Makes Sense Because We’re Not A Democracy:, The Popular Vote vs. the Electoral College, The Tale Of Two Elections   #, Finley: Blame Trump on Clinton, The article lost credibility after the 1st sentence, Billionaire Globalist Soros Exposed as Hidden Hand Behind Trump Protests Provoking US ‘Color Revolution’  via, The GOP’s Down Ballot Sweep, Trump and the Democrats, Kimberley Strassel: Trump’s Secret Weapon: Obama, Why I Am Voting for Trump -, I think most people just want the Clintons to go away, You still don't get it. WJC = Trump = HRC.and therefore the issues separated the candidates, Summit Country Day boys' soccer blanks Roger Bacon  via, Clinton directed her maid to print out classified materials  via, 2016 Regional Champs! Summit Country Day Silver Knights @ Lakota East High School, Icing on the cake in Summit's 6-0 regional final against Roger Bacon @ Lakota East High School, . The Clinton Campaign at Obama Justice  via, Hillary Clinton's niece is voting for Donald Trump  via, I don't have a dog in this fight but I think 400+ yards probably means you moved the ball, Nope it means u grow a beard! Welcome to Movember!, I think they call that Targeting, Don't u mean-""when they go low we go below"", I've just become a fan of Morning Joe. Thank you for telling it straight, Pretty sure the whole sordid affair hasn't followed protocol- FBI finally showing a backbone, Need to earn the seat, Huh? Wish people would think before they speak, Too late!, Who the hell is in charge anymore?, That's awesome!, Actually, the missed false start in the 3rd down sack was the killer, When did Illinois get a football team?, Couldn't she have said no? Besides, there is more to market pay than the gender of a person.",1
4,"4am and my brain decides to start playing Good Charlotte's ""Lifestyles of the Rich and Famous"" on an endless loop, I hope they release an animated short of all the Overwatch characters gearing up to battle, Stephen Colbert is such a pleasure to watch, one of the two reliable late night hosts, I want to win  tix from  You can too:, is like  before John Oliver doing long segments was a thing but better, Everyday there seems to be a new boycott or protest of some sort. I guess this is the next four years for us., Interpol coming back in 2018, consider my ticket bought. Can't wait., Rihanna in another movie? Did no one in Hollywood learn from Battleship?, so is most TV, you don't watch Game of Thrones cause its realistic do you?, Must feel so unreal having 50,000 people screaming along to your catchphrase, Totally down with Cena winning the title like that. Made it look like Styles could take a beating before losing, Customer comes into my work looks exactly like  but her name was Kailey, The Year of the Rooster skins are killing me, I have no time to get them all, Symmetra is pretty fun and easy to use. Easy character to get POTG, Dr. Strange, a film of psychedelic cliches in order to kill time, I wonder how much flack new band members get from replacing beloved original members., Lucas Hedges in Manchester by the Sea was fantastic, really made the movie for me, How the hell did Michelle Williams get an Oscar nomination for less than 10 minutes of screen time? Yah right..., How about some love for Zenyatta mains?, Zayn vs. Owens for the Universal title at 'Mania would be the dream, The Miz, Sami Zayn or Chris Jericho for the Royal Rumble 2017, At this point, it's impossible to please everybody with these Oscar noms. There's always going to be some kind of protest., Doubt I'll talk to anyone any time soon, but what if its all the time, I've been up for over 30 hours and I won't go to bed till I watch today's PDS, NAFTA, TPP, federal freezing, anti-abortion and the Keystone Pipeline",1
5,"unify the belts !!, If you can donate take a moment to !, makes  debut tonight! this should be exicitng!   muay thai in VEGAS!, so glad i got my  Sued pattern hat before they sold out!! YES one of the lucky Few !, passed by, expect a annoucemnt soon that  signed to the  not unexpected but still exciting!, Sriracha on everything!! Sriracha garlic chill version is the best!, i wouldnt be mad if  waited for the tittle shot its well deserved!, come one no Canadians allowed?, when a legend like  says it you know its true! only a matter of time till he gets in, 12-1 with only 2 dec win you know hes exciting!, Congrats to  on the new spin off of     this should be good !, in the replay it looks like  put some real power into that punch LOL, YES!! just ordered my  Suede green hat!! cant wait to rock this hat!!!, losses happen! we look forward to is you bouncing back and putting on a great performance next fight, That ending tho!! LOL this was a funny ass video !!, best part of  twitter is him replying back to idiots on twitter 😂😂   no fucks given ! lol Comedy Gold, what time will the  hats be released tomorrow, I kno the surgery took a lot Outa u cause i went through it &amp; u were 1 of my motivations now my turn to return the favor!, Or we continue to build      and show why these 3
4 are the exciting fu…, when  &amp;  ask for a baby they get a baby!  lol Congrats, this you lol ??, shit didnt even think about this ! this could be a big issue for  hopefully this can be resolved!…, whos next ? whos the next  fight?   how long till we see you back in the cage?, today in  history  made his debut in  against  @, so are you gonna shave the rest of yours legs to match?  or let it grow back out ?, YES!!!! I CAN'T WAIT FOR THE HAT!!!!!!, Shocking news to hear  retires due to brain scan abnormality, so whats the deal if i hit legs on  ? will i burst to flames immediately?, congratulations!, Now this is gonna be a crazy podcast ! I cant wait to hear this!! gonna be really insightful !",1
6,"Nothing annoys me more, on a night out, than getting charged 2 different prices for the same pint., Social media is becoming so generic. Facebook and Instagram becoming Snapchat and Snapchat becoming a group messenger app, First fixtures of the year made, the season won't be long coming, Haven't gone to work yet and already can't wait to get home and go to bed, 😂 I'll have to get ShowBox for my room alright, biding my time with Netflix before I get another box, night ruined, Barry, Why does Netflix have Red Dragon, but not Silence of the Lambs or Hannibal. A prequel without both sequel movies? Who does that, You'd need to starve for a week to polish off a Rush Buster from Sammy's, sure I would have drank it out of an old boot, if it was put in front of me, I'd rather a plastic cup over that, Can't believe I got a pint of Guinness in a Carlsberg glass last night, similar situation I'm Applegreen last week so I looked at the Central Bank's website, tell her to get lost, you don't have to count anything over 50 coins in a transaction, I'd go to an Aslan concert just to see and hear Christy sing and perform This Is, and Crazy World., Seeing a clip of Aslan last night has me looking up their old songs. What a voice Christy Dignam has, may God have mercy on us all, I wouldn't darken the door again if they did, I hate nothing more than drinking Guinness out of a plastic cup., I think I was the only person in Rush who didn't have a drink all weekend, The tripe that's on rte1, the most sexist comments I've ever heard from a woman, Have to try stop falling asleep on busses., Tempted to bring my hip flask with me, haven't been golfing in ages, And then when it eventually shows up, only lets 2 people on. Oh my days, Only on the Dublin Bus app could 8 minutes turn into 26 minutes, and the bus still isn't here, Who even does shots of tequila in The Drop of a Sunday, Trying to have a can of Monster and eat a 4in1 tray on the sly while serving a few customers. Please God don't make me burp at one of them",1
7,"Extended hours at Salem  Clinic a reality -, How one veteran went from unemployed to self-made multimillionaire ---, Keystone Adaptive Center partners with national nonprofit benefiting, Orlando chosen to host National  Wheelchair Games, Veteran sending hundreds of pizzas to deployed troops for Super Bowl Sunday ---, National Museum Of The American Indian Plans To Build Native American  Memorial -, hit the slopes to help heal at Holiday Valley -, Minnesota  Museum has honor rolls for WWI  -, University researchers focus on needs of veteran amputees -, Vietnam  Memorial replica arrives in Rockport -, Extended hours at Salem  Clinic a reality -, Charlotte Observer: This Veteran is grateful for kindnesses from  doctor, News Release: VA’s National Cemeteries lead nation in satisfaction survey, National  Wheelchair Games coming to Orlando, Texas: Traveling Vietnam  Memorial replica visits the Coastal Bend, Wounded Warriors play NFL veterans, WWII Veteran reflects on G.I. Bill benefits, offers advice to today’s, Blog -  Here’s what your cardiologist wants you to take to heart, Blog: Veteran employment specialist offers job hunting advice, Blog: Army Veteran spends his days comforting the dying, AP: The Latest: Shulkin:  Employees 'The Best in Health Care', Blog - New regulation changes copayment cost of outpatient medication, Blog: Montford Point Marines: the unique Legacy of an African-American Veteran, Blog - Compensation 101: What exactly is VA compensation?, For paralyzed Vietnam Veteran, football is more than a game, The Hill:  nominee cruises through confirmation hearing, Gold Star mother heals through serving  -, Florida:  turn out for hot meal, help at Cape military museum​ -, Dr Shulkin's testimony in his Senate hearing coming soon., WWII Veteran in Upper Southampton gets quite a surprise for his 103rd birthday, Florida: Police Officer and Veteran to Receive Service Dogs from Paws of War, Madison advances on ending homelessness for, Tennessee:  helping Veterans affected by Sevier Co. wildfires",1
8,"My boyfriend has no choice but to participate is these photos. 🙊🙊😉😉🐶, Tucked up in bed with my boyfriend, Call the midwife is on. Perfect Sunday night. ❤️💕❤️, 3 of us Waiting for our Sunday dinner earlier, my nanny makes the absolute best!! 😍🐷🐽, Worked an 9 1/2 hour day, just swam 24 lengths. I am....😵😵😵😵😵, And this is all the snow we got this week.   🖕🏿, beautiful Almunecar, Spain. Would be an absolute dream to go back 😘😘, I ❤️ these little pooches., Missing the Christmas holidays when my boyfriend would bring me a cup of tea in bed!! ❤️❤️❤️😔😔😔😔😔, Survived the first day back 💪🏻 even if I'm convinced it's Monday...😁🤔🙄, That's my last lie in, back to work tomorrow. 😨😨😨😨, New Year, new clearout. That's 2 bags of crap alone from my bedroom....🙄, My favourite birthday present.  😍😍😍, Can't stop eating matchmakers!!! 😳😳😳, Completely and utterly spoilt!!, Definitely pj's day. 😴😴😴😴😴😴😴, Merry Christmas Eve.  🎄😘, BIG food shop done. ✔️Real test will be not to eat it before Christmas. 😊😊😊😊👀👀👀👀👀, So nice to be able to chill in bed knowing you don't have work in the morning. 🙅🏼🙆🏼🙅🏼, Finally catching up with the walking dead. 😚😚😚😚, Amazingly christmasy weekend, I'm a very lucky girl. ❤️❤️❤️❤️❤️❤️😘😘😘😘😘😘, Perfect night. 💋💋, Day at the races with my boyfriend. Won 2 races, lost 1. All in all no bad. 🏇🏇🏇🏇, Merry Christmas to me. 👩🏼😍, That's the very last Christmas present brought. 😊😊😊😊😊😊, 9 days left at work. 💪🏻💪🏻💪🏻💪🏻, His &amp; Hers 💕😍🍫 Never to old......, Weekend in Berlin, walked 60,00 steps, 38 Km's all with a temp of -4. ❄️🇩🇪💏💋🍷👫🎄🍻🍭✈️, Doggy Christmas. ❤️❤️❤️, So depressing coming home after a weekend away. 😩😩😩😩😩😩, the quote of from Elf. ☺️☺️, I'm liking the sound of this!! 🙋🏼💁🏼🙅🏼😍, When you miss your besties, so you send each other Snapchats. 🙈🙈, Spain with my one and only. ❤️❤️❤️❤️❤️, Spain with my one and only. ❤️❤️❤️❤️❤️, Just ordered my Christmas wrapping paper. 🙊🙊🙊🙊🎅🏻🎅🏻🎅🏻🎅🏻🎅🏻, Holy crap!! That car crash in  is like something from Final Destination 🤔😮😮😮😮, One more day of work 💃💃💃💃💃💃",0
9,"show at  is spectacular and so thought provoking.Leave craziness behind &amp; be inspired by greatnes…, Jewish? Anglican? Catholic? Hindu?You're next w Trump.Extreme vetting of all religions is next.He's going to tear apart the world. And will., Excited about Chinese New Year. Going out Peking Rooster tonight., show at UofT is a DON'T MISS IT of the highest order if you truly care about this Country. A Genius., Quote of the day. And the most inspiring by far: ""This is not a period, this is a comma in the continuing story"".-Obama, Breaking News!! Trump is going to use Obama's inauguration speech! The first one. Worked for Melania!, PVR'd 12 hrs of ""Wheel of Fortune""for tomorrow cause it'll be way better than ""Wheel of Lies"" that's on everywhere else., having issues with ""intelligence community"". Why is this not a surprise?, I want a subscription to the New York Not About Trump Times., “WHY MILLENNIALS SHOULD TAKE A CHILL PILL.” by Geoffrey B. Roche   My continuing advice if you're a 20 something., Drawing on iPhone w  paper app of decor  Amazing curated store of home originality. Must see., . amazing grilled calamari shot with iPhone7+ in portrait mode., Really lovely., And this., This too., A great cause. Many thanks., “WHO YOU GONNA CALL??” by Geoffrey B. Roche, . stunning new store open  Nadege&amp;Morgan are Cdn Starpreneurs! Since 09 one hit after a…, RioCan  is one of the worst., Got a special reserved spot in Hell's garage with cinder block all 4 sides for Architects who design all the bad  in TO, Apps I love. Cool tech I love. Gift ideas someone might love., Apps I love. Cool tech I love. Gift ideas someone might love., Apps I love. Cool tech I love. Gift ideas someone might love., Love their meatballs too!, 1962 my friend John Lang's Mom took us out on street and said if the bomb drops this is where we'll stand.Cause I don't want you to suffer., They get a wall.We build a goalie net all the way across into the ocean on either end.Then we can keep out all his pucked up ideas.",1
