tid,text,gt
0,"Yo tan fuera de si y tú tan dentro de ti, Y esa mirada que a veces te mata y otras da vida, si te mira, Hay canciones que pueden curar a los heridos, Sin nada que perder por que no perdernos, Dime, si la esperanza es lo último que se pierde, ¿qué cojones perdimos nosotros primero?, alma de montaña rusa, la batalla por excusa, un encanto de desastre natural, la violencia será para los necios, la palabra de los sabios, a veces tengo la certeza de tenerte, Fuiste y lo importante ha sido eso, A destiempo van viniendo tus fantasmas a escupirme tus recuerdos, Y acabaremos creciendo sin un dios que nos lo impida, acariciando el fuego, evitando reaccionar, Convierte el fuego que fue su pasión en el más mágico incendio, robe te quiero jodeeer, como quien tira de una cuerda que se romperá..tirar tirar tirar tirar.., 💞💞💞💞💞💞 gracias cosita, las hay mongolas..luego estas tú, el elefante es el único animal que tiene cuatro rodillas🐘, que no exagero, que lo que hacéis es una puta locura, tienes un serio problema cuando juntas sentimientos con matemáticas, ah que lo ha dicho celemin? jajajajajajaja marta ya te he bajado del podiummm, Y no es por maldad, lo juro, es que me divierte el juego, Libre, desnuda de mi hasta los huesos, Respirar tan fuerte que se rompa el aire, mientras haya una sola mujer
con temor a ir sola al anochecer,…, jajajajajjajajajajja completament verdad y posible, comprobado✋🏽, de nada por alegrarte la tarde😚, geografía me mata leeenta y dolorosamente❌🤕🔪📚✂️⛔️, envidiosa, y no me hagas hacerte la cruzzzzz👆🏼👆🏼❌, 🔙🔙👳🏾🙏🏽 @ Laredo, Cantabria, jajajajajajjajajajaj😂😂 t agradezco que me quieras, yo tb lo hago aun así❤️❤️❤️❤️, vosotros si que sois magia y efectos especiales, im pre sio nan…, cuánto perro y perra para dos leonasssss.., imposible tener más ganas de algo!!!❤️❤️❤️❤️❤️, ....😪😪😪😪😪 te salvas por ese 1%, es divertido que te tenga que levantar en 5 mins y q tu últ conex haya sido a las 5:20😈😈😈, fue divertido contemplar el crecimiento imparable de lo que era sólo un juego, JAJAJAJAJA definición de la mitad de nuestras conversaciones☝🏼️",0
1,"muero.por verlos ahora!!!!!😭😭😭, Para viajar con el guaton DANTE, , Te quedas un ""ratito"" mas, aprender a valorarnos, respetarnos y sobretodo a AMARNOS es el primer paso para evitar actos como estos !!!😢, partamos de una buena educación en la niñez tanto en 👦 como👧 para evitar en la adultes actos tan terribles como estos, A tomar como ejemplo e implementar mas ideas así para evitar tanto 🐕 desprotegido, yo te sigo a todo lado, Simplemente hermosooo después de su primer baño 😘🐕💑, Dicen q las parejas deben construir de apoco un camino basado en…, de tu mano el infinito seria muyyy poco 😘, yo te  sigo a todo a todo lado 😘😘😘, Que gran noticia es hora de un cambio., hola la L4  esta funcionando?, Hoy fue un día maravilloso lleno de mil mensajes cargados de mucho…, Observando el tercer piso súper serca 😱😱😱😱 jijiji, ✨Porque haremos lo posible y lo imposible para que este año sea…, Finalizando un 2016 con muchas cosas positivas deseando un 2017…, Feliz año fin de año 2016, Lista para despedir el 2016, Despertando con mucho amor 
 @ Santiago, Chile, Hoy jugaron dos grandes  y mi  dos resultados…, ✨Dulce navidad ✨🎄🌟💑👴👵✨ @ Bello Horizonte, Las Condes, Misión cumplida!!  🏃🏃🏃⛪ @ Cerro San Cristóbal, Santiago de Chile, El mas consentido de la casa 👦👧🐕 😍😍, que triste q un país de como presidente a un hombre que solo proyecta odio y violencia. 🙅😡
Esperar q pasa con los latinos, Calmando el HAMBRE!!  😋 @ EL RINCONCITO DE MI TIERRA, en el trabajo    por suerte todo bien 😱, súper fuerte se sintió en Santiago
😱, es súper agradable escuchar una persona q todo eso rato de de pura energía positiva (conductor metro L1)  👍😊😜, ✨ Cada nuevo día es una nueva oportunidad para empezar a creer en…, terrible ver la crueldad y frialdad con la que habían como si fuese un juego 😡, Con el ⚪⚫ ⚽ 👲👦👩, A tu lado,  hasta lo mas sencillo, puede ser el momento más perfecto!!, La vida es demasiado corta para perderla con cosas superficiales,…, Vivo feliz a tu lado y no me queda mas que agradecerte por cada uno…, Un pequeño cambio positivo puede cambiar tu día entero o tu vida…",0
2,"A mi se me habrian cortado las cuerdas, Lo unico que heredo Sierra de su padre es la mochila, Que ganas de ser jubilado y tomarme una copa de vino en todos mis almuerzos, Huentelaf y Maripan que duelo en Temuco Esto esta que arde, Ahora esté tipo es un crack pero Cra, Terrible fractura de Zacaria, Que entre Toco Toco ahora po, La mejor pega de esta  guardia de la  jajajajaja, Ah bueno Hattrick de Alexis goleador de la Premier con 11 goles, maquina, y con presencia de Valdano es, Atenti que Alexis celebra hoy saludando a la, Se adelantó Navidad regalito para la  en el Nacional, Ya esta Karlovic no tiene corazón, Ahora, le hacen un monumento a Delpo igual que crack!, Como le decian a Delpo cuando era chico Porfiado pooo, jajajaja wena! Grandes declaraciones, Delpo es como la reencarnación de Fidel, Viendo a DelPorfiado por, Vuelve a tu ruca acá tenemos la cura Mati, Sergey y Colinski ya tienen los grupos para la, muy bien dicho loro Veliz, El día de FidelShet, la sigo la sigo hasta morderla como lo haría Luis Alberto, El gol de la fecha, Hay que crear el premio Soundtrack Justin Bieber para llorar, No Medel No Victory   ⚫️🔵, Le rompio el arco Candreva llegó a temblar, Que sucede  era partidon  ⚫️🔵, Entre ir y Noir  lo esta perdiendo en las bandas, La  llega en su mejor momento a las semis de  segunda en, Leipzigster la nueva revelación del futbol europeo, Primero en el draft, Que Cueva Peru, Que entre Cubillos se escapa bien de los colombianos, Vamos Chile refrescate con Aguila Roja, Que Jhonny repita dos veces Iquique Glorioso, Cuando se juega el clásico de River y Boca (?), Klose estuvo cerca de igualar a Matthäus 🤔, Y Salas lo saca por tanta maravilla, insólito, La novedad es que si la Catolica gana queda segunda, La pregunta es Chile debe Ganar todos sus partidos de local donde sea para clasificar al mundial?, Vamos todos a plaza de Armas, Chilenos es la hora de reconquistar la plaza de armas, ahora todos los peruanos en entrenamiento de la selección, Johnny cien pesos, Martin Rodriguez había hecho otro gol en este championship",1
3,"Ah, no había visto eso, respondí automático. La verdad que no se, entonces, Porque tiene muchísimos menos costos el ecommerce, Si todos los vendedores de todos los rubros deciden hacer eso, es colusión?, Ponele que aun con la explicitación de contado vs cuotas deciden vendes más caro. Qué problema hay?, Yo quiero que habiliten las tarjetas. Hasta tanto, prepaga, con la prepaga tenés un 25% de descuento eh, el negocio lo haces vos, Negociado? Por? Mañana vamos a estar una hora con el CEO de uber arg, escuchanos si podés, En serio pensás que no tiene nada que ver? Quién lo promovió? Quién rosquea el tema?, Sos libre de hacer lo que quieras, yo solo te digo como para que te sirva. Si querés pagar más, se feliz, Porque la regulación porteña la decide el sindicato de taxistas, usar entropay es tan fácil como abrir cuenta y listo. Podes pagar en efectivo, como taxi, pero mas barato, qué dificil cuando la vara la pone Viviani. Uber negocia y dialoga bastante eh, es cuestión de averiguar, Comunicado de  a los usuarios por el conflicto legal de estos días, pense que ibas a que la medida esta supuestamente baja precios. No estoy tan seguro que baje consumo, aunque puede ser, se comparan paritarias nacionales vs ipcCABA. Igual, estas de vacaciones, tw hace mal., no baja la inflación eso eh, seguro, el error este es grave, que haya aumento en febrero no implica que haya en todos los meses. Además, no se acumula así. Entre otras cosas, enorme, Es el mejor video de todos? Es posible

Hotel? Trivago, Nunca conocí a Tomas pero tengo la suerte de conocerlo a él y puedo decir que el padre hizo un laburazo con el pibe…, exacto. No sabías? Es un nuevo formato, Jueves de 10 a 11 am, programa sobre uber, tecnología, empleo, smart cities, movilidad. Conduce  por…, El jueves vamos a estar con Mariano Otero, CEO de  . Yo que se, si no escuchas  es problema tuyo, Alguien vio los numeros del Ministerio de energía antes de decir que el aumento no es gradual o hablan porque es gratis?",1
4,"no de el coñazo, no vuelva por aquí hasta que se le matice el acné., antes de ver ese bodrio prefiero:, Podéis seguir difundiendo vuestros dañinos valores pero no con mi ayuda, no con mi dinero, no con mi aprobación.…, El cariño y respeto hay que ganárselo, mientras este gremio siga alineado a intereses sectarios de ultra izquierda…, Por si no sentíais suficiente asco Errejón el moderado os brinda la incomparable ocasión de recuperar las náuseas q…, No mal interpretemos, el atacante gritando ""Alá es grande"" puso de manifiesto que es un caso aislado que no representa al Islam., -Tia súper injusto Pablo con Iñigo.
-No sé Iñigo es tan socialdemócrata, pásame la mermelada.
-súper triste el eje…, Jorge Verstrynge, absuelto en otro horroroso episodio de control político del Gobierno sobre los jueces..., Os metéis con Carolina Bescansa porque está buena., A mi la que más me gusta de Podemos es Ana Rosa Quintana., Gracias a Obama los cubanos serán devueltos a las garras del régimen comunista del que huyen, por favor no difundir, Los felones creen que los que ahora obtienen ilegalmente sus datos fiscales una vez independientes cumplirán la Ley., si ya hacemos el ridículo en uno, han debido pensar en IU, ¡histórica aportación a la educación !…, Lo de Iglesias y Errejon es porque Pablo quiere construir un muro para que no entren socialdemócratas a Podemos y q…, Los guardias civiles siempre abnegados al servicio de los españoles merecen las medidas,medios y soluciones para co…, Un trabajo duro, peligroso y exigente necesita de medidas de apoyo excepcionales para hombres y mujeres excepcional…, -ni socialdemócratas ni ostias Iñigo.
-un poco solo¿es mucho pedir?
-No es No ¿qué parte del No, no entiendes?
-lo…, La lucha, desigual y en este momento quijotesca, contra la dictadura de lo politicamente correcto no le resta perti…, Por favor no difundan que Obama es el presidente que más ha deportado en los últimos 30 años, gracias., calla no manches mi TL .no concibo algo mas asqueroso que su traición.",1
5,"el núcleo muy cerca de la ciudad de  veremos evolución pero no parece que esta celda en parti…, Lluvias hasta las 4:30PM, 4:30PM Nuevamente muy cargadas de precipitaciones las cuencas bajas del centro y sur de la costa de…, 4:30PM celdas de precipitaciones se empiezan a desarrollar en el cuadrante Noroeste de, retornan las lluvia al valle de  tras algunos días de pausa.  3:30PM, mejor usar OSTIA del MetOffice, del Mar sigue favoreciendo estallidos de tormentas nocturnos frente al norte, COMUNICADO EPSEL Agua Potable en  “, con mínimas en el rango de 25ºC en últimos días. Valores récord que que no se veían desde 1998. (Medidos en Aeropuerto Huanchaco), Se forma tormenta nocturna al sur de la cuidad, Hoy 04FEB Máximas
 Oeste 30,0ºC; Sensación Térmica 32,0ºC
 Centro 32,1ºC;  ST 36,1ºC
 Este 31,1ºC; ST 35,0ºC, es solo de uso personal y familiar. Gracias, 6PM tranquila la atmósfera. Algunas nubes; pero ninguna formación que preocupe., ya transitó la masa principal de nubes hacia la costa. OK!, te respondí., no campeón, de ese no se sabe mucho…Este es de la NASA..., hay variaciones locales dentro de las áreas de color. Las lluvias cortas por nubosidad baja no aparecen en estas imágenes, animado hasta las 5PM, al igual que  con menos actividad, salvo la clásica formación cerca de Los, luce (a diferencia de últimos días) sin ninguna formación relevante de  esta tarde., esta tarde, con lluvia cerca de la ciudad, A las 3PM es la zona central, la que concentra el grueso de actividad. No se aprecian formaciones en el norte…, muestra lluvia cerca de, Mira METARs de esta mañana SPME,SPYL,SPUR,SPHI Viento 270º-280º-340º con altas Tº de rocío, Impacto de las corrientes de agua que corren por  sobre sistema vial, Lluvia  últimos 3 días (Lts x m2)
 121,110,35
 25,39,33


 35,31,2, Esta imagen muestra a  en 1983. Apenas un cayo entre el mar y una laguna. El pueblo aparece aislado de la pla…, Entre las lagunas Ramón, Ñapique y el Desierto de Mórrope donde llueve mucho y descargan los ríos ciegos del norte…",1
6,"“Ser ciclista es incorporarse a una sociedad que valora la autonomía”: investigador U. Nacional  via, Las cosas del Chente, Alcaldía de Bogotá ganó 1 millón de dólares por propuesta para niños  vía, Presupuesto de Bogotá para 2017, sin grandes cambios  via, Hasta media hora ahorraron rutas escolares por carril preferencial en Autonorte  
 vía, Panelistas de primera en, Secretario de Movilidad   en  con    y…, Empieza el Congreso Latinoamericano de Ciclismo Urbano en, La bicicleta se toma las calles de la capital esta semana  vía, Hasta en ""manocleta"" se sumaron nuestros funcionarios  al reto., y  listos para rodar!, Pues Bogotá, ala..., Con toda, Lista la nave. A temblar paisalandia xq mañana BOG anda en 2., “gran parte de la congestión está relacionada con nuestros malos comportamientos en la vía”, Lorena Isla de, Detalles normativos de regulación de servicios de movilidad en el DF por  de, Retos para MaaS en Latinoamérica  en, de  explicando el proyecto Smile de integración multimodal en  gracias a…, de  habla sobre aplicaciones de movilidad en, En 
Gracias a, Construcción de plazoletas, la apuesta para recuperar el espacio público en Bogotá 
 via, Team  (presente y futuro) disfrutando  
Gracias, Con  y  dándoles la bienvenida a CGLU a cientos de alcaldes de todo el mundo.…, En el bike cargo festival de, Cómo evitar el robo de una bicicleta (visto desde un dron) - Blogs El Tiempo, Mañana..., Policías y velocímetros para bajar accidentes en la avenida Boyacá  via, Tendremos más metros de Metro gracias a, Visión triple cero!
 vía, Gracias a  &amp;  
     
  vía, el  de  es lo máximo. Gracias., , Guárdele un cupito ala..., En 3 pasos, Otro slide ☺, capacitando funcionarios  en gestión de la demanda de transporte. Gracias a, en bici.
Equipo de, Team Movilidad listo para pedalear, Tiene guevo!, Pago solidario y voluntario  via, Extender este corredor y desarrollar otros similares por toda la ciudad. Pero siempre pensando en todos los actores viales., A doce pasos, Pequeño gigante: Esteban Chaves se lleva la etapa reina del Giro de Italia",1
7,"Criminal amarillo en contra via, se le reclama y termina cerrando e insultando, Paz en la tumba de un gran maestro, de un gran artista, de un gran hombre!, Es posible que exista algo sin aji?... 😄😄😄😚, Que opinan de esto?, Eso depende de ti.. yo por mi parte manifiesto mucha curiosidad por algo te piden tantas fotos.. saludos!, Muestranos una fotico a ver por que los tipos siempre te andan pidiendo lo mismo...Por algo sera., No demora  en decir que es otro incompredido o una victima de las circunstancias., Estoy mas indignado que nunca, El gremio de delincuentes se tiene q acabar., Imagino a los hampones dando Aut. para q los graven La patria boba 2.0 en un pais serio no pasa, seria evidencia, Es que tambien es el putas para hacerse el guevon cuando le comviene y de ponerle pero a todo lo que no, Paraco!, La del microfono me parece las fea.😅😅😅, Estan pintados lo  a donde queda la  ?, esos son los  de bogota,, Estacion Virrey Taxista prestan servicio colectivo y sr quejan de particulares prestando servicio publico.…, VEG169 pasa adelante d la fila para hacer giro prohido, moto a la Izq tiene la placa tapada xq?, SNX752 Utiliza todo el carril para parquear Hp!, Pronaltur capaciten sus ""choferes"" Este se paso en contra via, HIX048 Solo hay 2 autos y no hace la fila mucho HP!, BDL53 Q tal el cuadro?, ZXY422 esta  sale de la paralela si mirar los espejos casi causa un accidente, Cual es su marca preferida de motosierras?, por eso son unos  💀💀💀💀, Es posible que a esta hora alguien este pagando para que nos saquen de esta lista.., No me tomes a mal, es por lo peligroso del mismo ademas si les reclamas 🔪, Como para tener una discrepancia con los ocupantes de este biciTAXI, que peligro😱, Mi pesebre es tan colombiano que tiene: Trancones,basuras,ladrones,ñeroshps, contaminacion,Uribistas,cristianos y mucha corrupcion, Solo falta que manipulen el caso para presentarlo a el como el culpable y a Uribe el mounstro como una victima mas..., CTV223 MLX823 eso para q respetamos el pico y placa",1
8,"Blow your mind no es lo mismo sin el MWAH al final tuyo jajaja.  algo de Daft Punk &lt;3, Mira ! Iba en la moto y como se que te gustan los atardeceres, pare y le tome foto :3, Jajaja los temas de Juan Camilo son lo mejor. 😂😂
Un saludo crack !, Es lo mejor ! Lastima que hoy se acabe :(, Cuando escucho  💃que buena energía, antes de presentar parcial relajándome con 
Algo de Disclosure por faaa, Nada mejor que terminar escuchando  y unas buenas cervezas., Cuando Liss no llega temprano y le toca gastar desayuno :v, :v esos amigos tuyos se dan garra., Esperando con ansias que empiece tu nuevo programa.
Éxitos. :D, algo de disclosure parcero !, Un día para poder ver a  ❤, Por oncesitas voy ❤, Marin, muchas gracias por tantas risas. Los oyentes lo echaremos de menos, suerte en lo que se viene, Parcero alguna de Disclosure c:
Y si quiere de paso regalarme una boleta para Disclosure :D, Esperando con ansiaaaaas  c:, Se fajo con la playlist de hoy, felicitaciones., Mi celular me odia cuando sale con cosas así :(, La mejor ! Grande Ali ! ❤, Marcheeee una boletica, no sea así :c, Marchee quiero boletas para el festival por favor, La sinceridad, a veces es la mejor estrategia., Cagarla una y otra vez :v, please no more :v, Esta victoria también es mía porque junto con más de 70 MIL personas logré que la minería sea declarada INCONSTITUCIONAL., Hoy los páramos están más protegidos.  Esto significa más agua, más vida y más futuro para todos, Pues cree en mi ❤, ¡Estoy feliz porque  ¡Ayúdame a difundir la noticia con tu RT!, Lo que piense usted me importe un culo :v, Este video me emocionó. Por eso me  y ya lo estoy protegiendo. Súmate tú también:, Tuitea con  y grita páramos sin minería como yo. ., No sabe cuanto me encanta usted ♡.♡, ""Yo por ti sé que vi un mundo en primavera y te vi para mi."", Olvidar y superar., jaja lose te amo &lt;3, Y yo era tierno con usted, bah muy tonto., Aqui extrañandote como no te lo imaginas, Finalmente dejaste de importarme 😃, Linda se ve con esas actitudes de zorra, Solo con la maricada -.-, Hasta el final vamos Real 💗",1
9,"aca estan las capturas que saque chicos, salieron hermosos como siempre!!! 😍😄💞, desde principios de 2014 estoy aca y así va a seguir, otro año más a tu lado, GRACIAS 💞, si ves esta foto  le sacarias una sonrisa enorme a  y no sabes como lo necesita 🙏💜, buenas tardes hermosos 💞, Quiero empezar teatro, conocer gente nueva, seguir con mis viejas amistades, y lograr mis objetivos 💞, solo pido esto dure para toda la vida, actuar y nada mas 💞🎭📺, buenas noches hermosos 💞, Hay que darle tiempo a las cosas, supongo..., te amo escribas en el idioma que escribas 💞, Esta foto es un escracho total pero la subo (aunque los del fondo casi ni se vean 😂) porque los…, buenas tardes hermosos 💞, Esta foto es un escracho total pero la subo (aunque los del fondo casi ni se vean 😂) porque los amo y fue un hermos…, buenas noches bebés, que descansen, los amo!!! 💞😴😘, Éramos 13 personas y solo subí fotos con Chechu porque no tenía las otras, Conseguí la foto grupal 😂, Que hermoso día el de ayer!!! 😍😄💞🙌, Te quiero muchísimo Chechu!!! 💞😄, Te quiero muchísimo Chechu!!! 💞😄 cami_alva15, Buenas noches!!! 😴😘, buenas noches hermosos 💞, 😄, y también 😍, Me tengo que levantar 10:30 porque a las 12:00 tengo que estar en la casa de Cami y tardo bastante en prepararme, Estoy escuchando la misma canción y llorando hace mil años 😭💞, 2 DE JUNIO, No como el otro pero la verdad que bastante bien, Amo este perfume, posta que es riquísimo, Igual por lo menos para mi es una gran verdad, Ay más tierna esa parte, Ay por dios JAJAJJAJAJAJAJAJAJAJAJ, Ay pobrecita JAJAJJAJAAJAJAJAJAJJ, , Ojala mañana no llueva mucho, Ay me muero JAJAJAJAJAJAJAJJ, BUENOS AIRES, buenos dias hermoso 💜, Perderte de nuevo sería morir, ay 😭💕, Y a las otras mil personas mas que también amo 💜, buenas noches hermosos 💞, Buenas noches hermoso!!! Que descanses!!! Te amo!!! 💜😴😘, SI SIGUE BAJANDO Y SUBIENDO LA LUZ NOS VAN A TERMINAR QUEMANDO TODO, Que sea una señal por favor 🙏😍, Como haces para ser tan hermoso??, Para cuando Buenos Aires, Argentina??, Si mañana fuera el último día de tu vida, que harías??",0
