tid,text,gt
0,muslims offend me,1
1,the great train robbers,0
2,when your world cup team scores a goal,0
3,area 51 naruto runners naruto runners let me iiiiiiiiiiiiin! let me in,0
4,and that was the last nativity play my son was invited to take part in,1
5,trust me... ...they're re all terrorists,0
6,jew jerky: leave out in the sun until all moisture is gone store in a cool dark place for 3 days,1
7,"""aye, tone! why would dey delouse 'em if dey was just gonna whack 'em?!""",0
8,can you hear me at the back?,0
9,i'm this pretty because both my parents are white,1
10,we said we would never forget why are you voting them into our governement?,1
11,"when you find a shooter the same day you plan a bombing, so you team up",1
12,if i was arrested what do u think i got arrested 4?,0
13,how do you piss off a female archeologist? give her a used tampon and ask her what period it comes from,0
14,"if they're in a relationship, who makes the sandwiches?",0
15,imagine being so disugsting there have to be laws to try to stop normal people from hating you,1
16,and that was the last nativity play my son was invited to take part in,0
17,just admit it white america was better,0
18,when you got a warrant out for your arrest & you on the run.....,1
19,the before image that not many people have seen,0
20,this is inhuman the operation takes only a couple of seconds to perform but its image remains for years,0
21,party tonight? i'm down,1
22,that feeling when you finish your homework in record time and have extra time to chill,0
23,just a traditional muslim man with a beard,0
24,american kids all across american storefronts!!! freeway off n on ramps!!! street corners!!! begging for $$$ for the're alcohol!!! n drugs!!!,1
25,a mother's love for the child is a divine thing,0
26,three k's a day keeps the minorities away,1
27,when you're watching the #roots remake but you're in an interracial relationship,0
28,"warning ""every"" country that has become involved in muslim immigration has eventually become an islamic state, and don't the fate of your country will be any different islam is a cancer for which there is no cure",1
29,the newest hate group the dumb stupid klan,0
30,here we go again. us paralympics team refuses to stand during st.,1
31,there's only one race the human race and that thing on the right? that's a monkey in human clothes,0
32,when you fart in crowd and  try to look normal,0
33,farming simulator 1800,1
34,"sometimes, you have to water your farm equipment so it doesn't overheat",1
35,"he's not a great debater, he's not a smooth talking politician, he's not part of the establishment, but he is a true american patriot! we cannot sit back and watch them destroy this man who is trying to help us ! he can clean up america and they know it !",0
36,"yeah, we know ""no president has done what i have done.""",0
37,this has no place on american soil,0
38,mom won't let me use the oven with my jewish friends,1
39,it's the religion of peace. join exclusive islam!,1
40,"makeup artist $4,000 / month personal stylist $15,000 / week i can't tell the difference",0
41,i hear a funny joke about dishwashers,0
42,how i see black people getting trolled on the internet,1
43,went down on a muslim bitch her pussy was the bomb!,1
44,when you start burning calories instead of people,0
45,things i love to pull behind my trunck,0
46,just admit it. white america was better,1
47,i'd like the porn in my room to be disabled we only have regular porn you sick bastard,0
48,this pizza is so disgusting if you take it to italv you'll get arrested,0
49,claims that her ancestors created a safe space for jews these are her ancestors,1
50,didn't get bought today success!,0
51,"me, an air force intellectual watching some marines get into a bar fight with some thai tranny hookers",1
52,i'm not racist i hate white liberals more than anybody,1
53,this man single handedly saved this animal from poachers,0
54,"mohammed i'm pregnant.... don't sass me, you know it's funny! ~cupcakes",1
55,when you just realize that you forgot to take the cake out of the oven,0
56,our insurance,1
57,trust me... ...they're re all terrorists,0
58,me watching the pride parade,0
59,what would you do if i got pregnant,1
60,i think it is safe now challenge accepted,1
61,everyone should take care of their skin,0
62,what do i do when my dishwasher stops? i should get back to scrubbing,0
63,do i need to dig up hitler to show you how to use an oven,1
64,(laughs in goat fucker),1
65,president condemned capital punishment,0
66,the look you give when your husband would rather fuck a goat then you,1
67,when your leader is killed by a drone and you get to fuck his herd of goats,1
68,little girls are the devil,1
69,how black women fight crime,0
70,dss,0
71,"the amish reject modern society without strapping explosives children proof that you can be completely devoted to your religion wear beards, dress modestly and reject modern society without strapping explosives to children",1
72,this is me not having any white guilt,1
73,the newest hate group the dumb stupid klan,0
74,things i love to hunt,1
75,muslim terror attacks are more frequent white terror attacks are more efficient,1
76,it's a piece of cake if she's not awake,1
77,spending alot of time with your pets,0
78,once you go black ur a single mom!,1
79,this project is tough but it will save the world,1
80,actors costumed in the full regalia of the kkk,0
81,teacher: alright class take out your calculators mohammed:,1
82,turns out out they were expecting something very different went gay clubbing with some friends,1
83,the face you make when one of those damn apes cancels your show,0
84,"what is that wonderful smell? it smells like... caramel! oh, today we burnt the diabetics",1
85,dem rep calls trump supporters 'just plain dumb' & 'racist' in letter on house floor.. what's your response?,0
86,ban the burka you must be fucking joking,0
87,i was asked who my favourite x-men character was apparently my answer was inappropriate,0
88,man: i'd like to trade her in for newer one,0
89,if i had a gone i could convert this fruit to vegetable,1
90,they're just like eggs better when beaten well,1
91,life is like belgium some times you just have to march through it,1
92,"what are you doing there? you're a cat, not a jew",1
93,debris from todays tornadoes ..oops nevermind... that's just a picture from the snake pit at the indy 500,0
94,yellow black red and normal,1
95,when your test comes back and you got a 47 out of 46,1
96,"to see better, asians sometime switch to fullscreen veiw",1
97,a smile to bring joy in anyone's day,0
98,burning things that don't mean anything to you,0
99,"if he dies in the movie ""toy story"" all the toys have to watch as the children play with their dead friend's lifeless body",0
100,for decades bruce fondled her this just in caitlyn jenner claims,1
101,"what are you doing there? you're a cat, not a jew",0
102,the dishwasher was making a funny sound but i fixed it,0
103,"when you fart next to the jewish kid, and realize you just gassed the jews",1
104,"they might not be liking your pics, but i bet they're reading your comments and keeping track of who you respond to",0
105,goats are friends not food,0
106,and that's why i gas people,0
107,thanksgiving in china,1
108,omfg its a dirty mexican,1
109,rare picture of child birth,0
110,half honky all donkey,0
111,when you've decided to start a life of crime,1
112,(laughs in goat fucker),0
113,found bigfoot married her,1
114,once a place where innocents were murdered. now a historical site for people to learn,0
115,back in my day there were only two genders male and not male,1
116,refugees welcome,1
117,how to fix a noisy dishwasher,1
118,american asians how to prepare the dog for the family event,0
119,farming simulator 17,1
120,white people when they learn fish swim in schools,1
121,straight outta oven,1
122,"him: have you seen my cat lately? her: nope, have you seen your dad lately?",0
123,can afford to travel from romania to london still picks your pocket,1
124,this movie sucks i am thinking of another shooting,0
125,international boxing day,0
126,check out these legs i bet you did nazi that coming,0
127,hope on a rope it's what everyone's been waiting for,1
128,@unhumanrights,0
129,turning every country it touches into a shithole,1
130,"the religion of the muslims, a monotheistic faith regarded as revealed through muhammad as the prophet of allah",0
131,shia men after getting an erection,1
132,did you really think i was going to let the patriots lose,0
133,found this old photo of our grand parents on their quad,1
