tid,text,gt
0,Proud to receive the True Blue Award from @USER today for my pro-life and pro-family voting record,2
1,Tomorrow the state Legislature will be called into a special session to address the state budget hole created by the economic effects of the COVID-19 pandemic.  I've also asked the Legislature to take up:  Business & tax relief Public safety reform Election changes  More info ⬇️,1
2,"On Wednesday, I visited the #Israel Pavilion at OTC in Houston. HTTPURL… #Energy #TX14",2
3,"Important dates for #DACA constituents: Renewal must be received by Oct. 5 if EAD exp. by Mar. 5, 2018: HTTPURL #ProtectDACA",1
4,"Does your #DACA expire between now and March 5, 2018? Submit your renewal application before October 5, 2017→ HTTPURL",1
5,"#TrumpCare’s cuts to Medicaid will hurt working families, children, Americans with disabilities, and seniors. #PayMoreForLess",1
6,Our veterans are our priority. Last night I voted for the #VeteransIDAct ensuring easier access to benefits & care.,2
7,Domestic violence is still far too prevalent. Help is available. #VAWA #1is2Many,1
8,This #EarthDay I am reflecting on my work in Congress to mitigate the effects of climate change and end the climate crisis. We have a long way to go and we must continue to #ActOnClimate,1
9,Great to see volunteers in action @USER painting murals at Vincent HS for #MLKDayOfService #cyMLK #cyMKE,2
10,58% of women use birth control for health reasons. RT if you know #healthcare is #NotMyBossBusiness,1
11,"Cornyn says he ""doesn't get the point about open carry."" Let's teach him a lesson. Early voting starts Tues, Feb. 18",2
12,Rep Cicilline speaking about his work to address climate change at @USER Breakfast of Champions today.,1
13,I hope @USER lays out plan to beat #ISIS and win war on Islamic terror in #SOTU - HTTPURL… #NDPOL,2
14,"I’m fighting to #ProtectOurCare for the 1,215,300 Nevadans who live with pre-existing conditions. If the GOP’s Texas v. U.S. lawsuit strikes down the Affordable Care Act, they’ll lose vital protections that keep their costs down!",1
15,Cornyn voted twice in 2013 to fund Obamacare.  The only time Cornyn has ever stood up to Obama is to shake his hand.,2
16,"""Our science is shut down. The telescopes are still collecting data, but we can’t look at it. We can’t talk to our students, or our colleagues, or our postdocs about the work that they would like to be doing. "" – Jane, furloughed NASA worker #ShutdownStories",1
17,"9,500 more young adults in #CA3 have health insurance b/c of #ObamaCare. #ACA #hcr #p2 #NorCal",1
18,Joined my colleagues today in opposing #TPP. My only criteria is: will this cost jobs? Answer is yes.,2
19,"Today on International Holocaust Remembrance Day, we pause to honor the lives of the 6 million Jews & other innocent people taken by the brutal Nazi regime. We also pay tribute to the courageous survivors, as well as the brave who fought against intolerance. #NeverAgain",2
20,Standing with @USER and furloughed American workers to stop #GOPshutdown #Standup2Shutdown #EnoughAlready,1
21,Only 12% of workers get #paidleave to care for a new child or ill family member. #WhatMothersNeed,1
22,John Cornyn just voted to raise Obama's debt limit. The only time Cornyn stood up to Obama was to shake his hand.,2
23,"In just 4 years, the cost of insulin DOUBLED. That's ridiculous – the medicine you need to stay alive shouldn't cost an arm and a leg. Dems are serious about tackling the skyrocketing cost of prescription drugs & we’re committed to passing our bill, the #LowerDrugCosts Now Act.",1
24,Enjoyed meeting with former ND Legislator Mike Hamerlik of @USER today to talk shop on #Obamacare replace & access to veterans care.,2
25,It is no surprise that the majority of Americans support building the Keystone XL Pipeline. #TimetoBuild,2
26,"NOW: Rep Cicilline, faith leaders urging resettlement for 100,000 Syrian refugees.",1
27,"Are you facing an eviction due to #COVID19? Follow this checklist from @USER    If you need more assistance, contact my office at 702-963-9360.",1
28,"On this day of somber reflection, we remember the six million Jews murdered in the holocaust. #HolocaustRemembranceDay #YomHaShoah #NeverAgain",2
29,"Women shouldn’t need to work 15 months to be paid what men receive in 12.  It is time for #EqualPay. But equal pay is not just a woman’s issue. It impacts families, businesses & economy. #EqualPayDay #PaycheckFairnessAct",1
30,"#DREAMers are our friends, neighbors, soldiers, new homeowners, entrepreneurs & students. We will stand with you. We must #DefendDACA!",1
31,"Enjoyed speaking on a panel at @USER about importance of protecting our greatest ally in the Middle East, Israel.",2
32,"#EqualPay strengthens our economy & helps families not only make ends meet, but thrive. #EqualPayCantWait",1
33,"House D's will have to explain to their constituents why after 1 year and 3 days, @USER still refuses to bring   #USMCA to the floor for a vote.   USMCA will have a more positive impact on the US economy, jobs, & wages than any trade agreement the ITC has ever reviewed.",2
34,"State health officials have announced today 92 additional cases of COVID-19 in New Mexico, currently totaling 495 positive tests statewide.  @USER has also announced three additional deaths related to COVID-19, bringing the total to ten.  More info here: HTTPURL",1
35,"I stand with my #LGBT constituents in commemorating #Pulse. Today, we mourn those we lost. Tomorrow, we fight for #equality in their memory.",1
36,"Held telephone town hall w/ 1000s of #NorCal constituents. Talked #CADrought, jobs, #minimumwage, #vets & more. #CA03",1
37,"I spent my morning demanding answers about the Trump Admin's latest attack on Americans' health care.    I'll keep working with the @USER to stand up for the 1.2 million Nevadans battling pre-existing conditions like cancer, asthma, and diabetes. #ProtectOurCare",1
38,On Mon I have the honor of introducing fmr Israeli Pres Shimon Perez during the Tarrant County College lunch in FW.,2
39,Barriers to voting are unacceptable! Congress must #RestoreTheVOTE so that every voice is heard. #RestorationTuesday,1
40,#GrahamCassidy gives big insurers the power to charge people with pre-existing conditions much higher premiums. #Trumpcare.,1
