tid,text,gt
0,How I feel today #legday #jelly #aching #gym,1
1,grattis min griskulting ! ! ! ? ? ? va bara tvungen oki s ? sch ? @USER #pig #happybday #wow #lovely #cut ...,1
2,RT @USER : The moment I found my favourite tV character . #PROFOUNDLOVE,1
3,#escort We have a young and energetic team and we pride ourselves on offering the highes #hoer,1
4,"RT @USER : Went to SSC today to be a "" movie star "" to rep for the Deaf and got to meet an energetic great guy : Mark White !",1
5,"RT @USER : "" that was really energetic """,1
6,"RT @USER : To my most hard working , fun loving and energetic team ... Thank you and I love you !",1
7,Energetic training today with our San Antonio New Dollars / New Partners trainees,1
8,Look at their Photo and feel the #Anger . #SpeakUp for #peace . Speak up for #equality . Speak up for #Tolerance .,1
9,@USER absolute disgrace two carriages from Bangor half way there standing room only #disgraced,2
10,"RT @USER : So proud of these kids ! Not only talented , ENERGETIC and hardworking , but respectful and kind-hearted ! ? ?",1
11,RT @USER : What does everybody think of these candles from Liberty London . We love ! RT if you feel the same #Valentinesday,1
12,I can't even tell you guys how much I love these covers ? @USER #invaded #alienated #prettycovers,1
13,"RT @USER : An energetic @USER tells us all about his sister - "" the most evil bumface in the world ' ! ! #WayWord #Chester ht ...",1
14,Awesome record . Keepin the night energetic ? ?,1
15,RT @USER : You are a #manifestation of energetic potential . #truth #quote #DivineSociety,1
16,"Love to party ? We 're hiring fun , outgoing , energetic & happy people . Call or visit us to learn more .",1
17,RT @USER : when a girl texts you first and then ignores your reply,1
18,#depressed #depression #bullied #anxiety #overdosed #addict #drugs #pills #cuts #cutting # ...,2
19,Winners will be chosen in 1 week .,1
20,Thank you to Eastwood 8th grader Sam L . for helping hang 7th grade #SafeDates Valentines Day cards . #Caring,1
21,Enraged by this ? Then spread awareness ! Loyalty ... betrayed ... #StopYulin2015,2
22,I am enthusiastic about Gleeeeeeeeeeeeeeeeeeee ? ? ?,1
23,Looking forward to #Disgraced by Ayad Akhtar ! Monday and tuesday are already sold out !,0
24,RT @USER : Author @USER reads to an enthusiastic audience #BigHeartDays @USER,0
25,"Waxwing trills , Chickadees calling "" here sweetie "" , enthusiastic athletes , blue sky & snow at #ualbertafarm #UAlberta",0
26,RT @USER : Cycling hero Greg LeMond stopped by the @USER stand today . Super enthusiastic about our brands !,0
27,RT @USER : Enthusiastic hello from the kids of Zarqa #Jordan-a poor area where many of the country 's extremists come from,1
28,RT @USER : Met this enthusiastic group of badminton players during today 's morning park visit in gautam nagar .,1
29,RT @USER : It was eight years ago last week that Obama launched his first bid for president,2
30,@USER @USER great valentines treat singing all day with fellow enthusiastic teachers :-),1
31,RT @USER : Karl-Anthony is enthusiastic about reminding South Carolina about the last time they sent a team to play at Kentucky h ...,1
32,We listen to our customers and we know what you really want #caring #propertyexperts,0
33,RT @USER : rt to save a life,1
34,RT @USER : Adidas mi ZX flux,1
35,RT @USER : This is so important,1
36,RT @USER : Mario finally has a smile on his face !,1
37,RT @USER : Kanye brought out Fetty Wap . Do n't question his judgement ever again,0
38,RT @USER : My sisters the real MVP ? ? #ValentinesDay,1
39,3 New Tips to Handling Your Anger #anger #issues #love #relationship,2
